"Linux Name","Linux Keycode","OS-X Name","OS-X Keycode","AT set1 keycode","AT set2 keycode","AT set3 keycode",XT,"XT KBD","USB Keycodes","Win32 Name","Win32 Keycode","Xwin XT","Xfree86 KBD XT"
KEY_RESERVED,0,,,,,,,,,,,,
KEY_ESC,1,Escape,0x35,1,118,8,1,1,41,VK_ESCAPE,0x1b,1,1
KEY_1,2,ANSI_1,0x12,2,22,22,2,2,30,VK_1,0x31,2,2
KEY_2,3,ANSI_2,0x13,3,30,30,3,3,31,VK_2,0x32,3,3
KEY_3,4,ANSI_3,0x14,4,38,38,4,4,32,VK_3,0x33,4,4
KEY_4,5,ANSI_4,0x15,5,37,37,5,5,33,VK_4,0x34,5,5
KEY_5,6,ANSI_5,0x17,6,46,46,6,6,34,VK_5,0x35,6,6
KEY_6,7,ANSI_6,0x16,7,54,54,7,7,35,VK_6,0x36,7,7
KEY_7,8,ANSI_7,0x1a,8,61,61,8,8,36,VK_7,0x37,8,8
KEY_8,9,ANSI_8,0x1c,9,62,62,9,9,37,VK_8,0x38,9,9
KEY_9,10,ANSI_9,0x19,10,70,70,10,10,38,VK_9,0x39,10,10
KEY_0,11,ANSI_0,0x1d,11,69,69,11,11,39,VK_0,0x30,11,11
KEY_MINUS,12,ANSI_Minus,0x1b,12,78,78,12,12,45,VK_OEM_MINUS,0xbd,12,12
KEY_EQUAL,13,ANSI_Equal,0x18,13,85,85,13,13,46,VK_OEM_PLUS,0xbb,13,13
KEY_BACKSPACE,14,Delete,0x33,14,102,102,14,14,42,VK_BACK,0x08,14,14
KEY_TAB,15,Tab,0x30,15,13,13,15,15,43,VK_TAB,0x09,15,15
KEY_Q,16,ANSI_Q,0xc,16,21,21,16,16,20,VK_Q,0x51,16,16
KEY_W,17,ANSI_W,0xd,17,29,29,17,17,26,VK_W,0x57,17,17
KEY_E,18,ANSI_E,0xe,18,36,36,18,18,8,VK_E,0x45,18,18
KEY_R,19,ANSI_R,0xf,19,45,45,19,19,21,VK_R,0x52,19,19
KEY_T,20,ANSI_T,0x11,20,44,44,20,20,23,VK_T,0x54,20,20
KEY_Y,21,ANSI_Y,0x10,21,53,53,21,21,28,VK_Y,0x59,21,21
KEY_U,22,ANSI_U,0x20,22,60,60,22,22,24,VK_U,0x55,22,22
KEY_I,23,ANSI_I,0x22,23,67,67,23,23,12,VK_I,0x49,23,23
KEY_O,24,ANSI_O,0x1f,24,68,68,24,24,18,VK_O,0x4f,24,24
KEY_P,25,ANSI_P,0x23,25,77,77,25,25,19,VK_P,0x50,25,25
KEY_LEFTBRACE,26,ANSI_LeftBracket,0x21,26,84,84,26,26,47,VK_OEM_4,0xdb,26,26
KEY_RIGHTBRACE,27,ANSI_RightBracket,0x1e,27,91,91,27,27,48,VK_OEM_6,0xdd,27,27
KEY_ENTER,28,Return,0x24,28,90,90,28,28,40,VK_RETURN,0x0d,28,28
KEY_LEFTCTRL,29,Control,0x3b,29,20,17,29,29,224,VK_LCONTROL,0xa2,29,29
KEY_LEFTCTRL,29,Control,0x3b,29,20,17,29,29,224,VK_CONTROL,0x11,29,29
KEY_A,30,ANSI_A,0x0,30,28,28,30,30,4,VK_A,0x41,30,30
KEY_S,31,ANSI_S,0x1,31,27,27,31,31,22,VK_S,0x53,31,31
KEY_D,32,ANSI_D,0x2,32,35,35,32,32,7,VK_D,0x44,32,32
KEY_F,33,ANSI_F,0x3,33,43,43,33,33,9,VK_F,0x46,33,33
KEY_G,34,ANSI_G,0x5,34,52,52,34,34,10,VK_G,0x47,34,34
KEY_H,35,ANSI_H,0x4,35,51,51,35,35,11,VK_H,0x48,35,35
KEY_J,36,ANSI_J,0x26,36,59,59,36,36,13,VK_J,0x4a,36,36
KEY_K,37,ANSI_K,0x28,37,66,66,37,37,14,VK_K,0x4b,37,37
KEY_L,38,ANSI_L,0x25,38,75,75,38,38,15,VK_L,0x4c,38,38
KEY_SEMICOLON,39,ANSI_Semicolon,0x29,39,76,76,39,39,51,VK_OEM_1,0xba,39,39
KEY_APOSTROPHE,40,ANSI_Quote,0x27,40,82,82,40,40,52,VK_OEM_2,0xbf,40,40
KEY_GRAVE,41,ANSI_Grave,0x32,41,14,14,41,41,53,VK_OEM_3,0xc0,41,41
KEY_SHIFT,42,Shift,0x38,42,18,18,42,42,225,VK_SHIFT,0x10,42,42
KEY_LEFTSHIFT,42,Shift,0x38,42,18,18,42,42,225,VK_LSHIFT,0xa0,42,42
KEY_BACKSLASH,43,ANSI_Backslash,0x2a,43,93,93,43,43,50,VK_OEM_5,0xdc,43,43
KEY_Z,44,ANSI_Z,0x6,44,26,26,44,44,29,VK_Z,0x5a,44,44
KEY_X,45,ANSI_X,0x7,45,34,34,45,45,27,VK_X,0x58,45,45
KEY_C,46,ANSI_C,0x8,46,33,33,46,46,6,VK_C,0x43,46,46
KEY_V,47,ANSI_V,0x9,47,42,42,47,47,25,VK_V,0x56,47,47
KEY_B,48,ANSI_B,0xb,48,50,50,48,48,5,VK_B,0x42,48,48
KEY_N,49,ANSI_N,0x2d,49,49,49,49,49,17,VK_N,0x4e,49,49
KEY_M,50,ANSI_M,0x2e,50,58,58,50,50,16,VK_M,0x4d,50,50
KEY_COMMA,51,ANSI_Comma,0x2b,51,65,65,51,51,54,VK_OEM_COMMA,0xbc,51,51
KEY_DOT,52,ANSI_Period,0x2f,52,73,73,52,52,55,VK_OEM_PERIOD,0xbe,52,52
KEY_SLASH,53,ANSI_Slash,0x2c,53,74,74,53,53,56,VK_OEM_2,0xbf,53,53
KEY_RIGHTSHIFT,54,RightShift,0x3c,54,89,89,54,54,229,VK_RSHIFT,0xa1,54,54
KEY_KPASTERISK,55,ANSI_KeypadMultiply,0x43,55,124,126,55,55,85,VK_MULTIPLY,0x6a,55,55
KEY_LEFTALT,56,Option,0x3a,56,17,25,56,56,226,VK_LMENU,0xa4,56,56
KEY_LEFTALT,56,Option,0x3a,56,17,25,56,56,226,VK_MENU,0x12,56,56
KEY_SPACE,57,Space,0x31,57,41,41,57,57,44,VK_SPACE,0x20,57,57
KEY_CAPSLOCK,58,CapsLock,0x39,58,88,20,58,58,57,VK_CAPITAL,0x14,58,58
KEY_F1,59,F1,0x7a,59,5,7,59,59,58,VK_F1,0x70,59,59
KEY_F2,60,F2,0x78,60,6,15,60,60,59,VK_F2,0x71,60,60
KEY_F3,61,F3,0x63,61,4,23,61,61,60,VK_F3,0x72,61,61
KEY_F4,62,F4,0x76,62,12,31,62,62,61,VK_F4,0x73,62,62
KEY_F5,63,F5,0x60,63,3,39,63,63,62,VK_F5,0x74,63,63
KEY_F6,64,F6,0x61,64,11,47,64,64,63,VK_F6,0x75,64,64
KEY_F7,65,F7,0x62,65,259,55,65,65,64,VK_F7,0x76,65,65
KEY_F8,66,F8,0x64,66,10,63,66,66,65,VK_F8,0x77,66,66
KEY_F9,67,F9,0x65,67,1,71,67,67,66,VK_F9,0x78,67,67
KEY_F10,68,F10,0x6d,68,9,79,68,68,67,VK_F10,0x79,68,68
KEY_NUMLOCK,69,,,69,119,118,69,69,83,VK_NUMLOCK,0x90,69,69
KEY_SCROLLLOCK,70,,,70,126,95,70,70,71,VK_SCROLL,0x91,70,70
KEY_KP7,71,ANSI_Keypad7,0x59,71,108,108,71,71,95,VK_NUMPAD7,0x67,71,71
KEY_KP8,72,ANSI_Keypad8,0x5b,72,117,117,72,72,96,VK_NUMPAD8,0x68,72,72
KEY_KP9,73,ANSI_Keypad9,0x5c,73,125,125,73,73,97,VK_NUMPAD9,0x69,73,73
KEY_KPMINUS,74,ANSI_KeypadMinus,0x4e,74,123,132,74,74,86,VK_SUBTRACT,0x6d,74,74
KEY_KP4,75,ANSI_Keypad4,0x56,75,107,107,75,75,92,VK_NUMPAD4,0x64,75,75
KEY_KP5,76,ANSI_Keypad5,0x57,76,115,115,76,76,93,VK_NUMPAD5,0x65,76,76
KEY_KP6,77,ANSI_Keypad6,0x58,77,116,116,77,77,94,VK_NUMPAD6,0x66,77,77
KEY_KPPLUS,78,ANSI_KeypadPlus,0x45,78,121,124,78,78,87,VK_ADD,0x6b,78,78
KEY_KP1,79,ANSI_Keypad1,0x53,79,105,105,79,79,89,VK_NUMPAD1,0x61,79,79
KEY_KP2,80,ANSI_Keypad2,0x54,80,114,114,80,80,90,VK_NUMPAD2,0x62,80,80
KEY_KP3,81,ANSI_Keypad3,0x55,81,122,122,81,81,91,VK_NUMPAD3,0x63,81,81
KEY_KP0,82,ANSI_Keypad0,0x52,82,112,112,82,82,98,VK_NUMPAD0,0x60,82,82
KEY_KPDOT,83,ANSI_KeypadDecimal,0x41,83,113,113,83,83,99,VK_DECIMAL,0x6e,83,83
,84,,,,,,,84,,,,,
KEY_ZENKAKUHANKAKU,85,,,118,95,,,118,148,,,,
KEY_102ND,86,,,86,97,19,,86,100,VK_OEM_102,0xe1,,
KEY_F11,87,F11,0x67,87,120,86,101,87,68,VK_F11,0x7a,,
KEY_F12,88,F12,0x6f,88,7,94,102,88,69,VK_F12,0x7b,,
KEY_RO,89,,,115,81,,,115,135,,,,
KEY_KATAKANA,90,JIS_Kana????,0x68,120,99,,,120,146,VK_KANA,0x15,,
KEY_HIRAGANA,91,,,119,98,,,119,147,,,,
KEY_HENKAN,92,,,121,100,134,,121,138,,,,
KEY_KATAKANAHIRAGANA,93,,,112,19,135,,112,136,,,0xc8,0xc8
KEY_MUHENKAN,94,,,123,103,133,,123,139,,,,
KEY_KPJPCOMMA,95,JIS_KeypadComma,0x5f,92,39,,,92,140,,,,
KEY_KPENTER,96,ANSI_KeypadEnter,0x4c,,158,121,,284,88,,,0x64,0x64
KEY_RIGHTCTRL,97,RightControl,0x3e,,,88,,285,228,VK_RCONTROL,0xa3,0x65,0x65
KEY_KPSLASH,98,ANSI_KeypadDivide,0x4b,,181,119,,309,84,VK_DIVIDE,0x6f,0x68,0x68
KEY_SYSRQ,99,,,84,260,87,,84,70,"VK_SNAPSHOT ???",0x2c,0x67,0x67
KEY_RIGHTALT,100,RightOption,0x3d,,,57,,312,230,VK_RMENU,0xa5,0x69,0x69
KEY_LINEFEED,101,,,,,,,91,,,,,
KEY_HOME,102,Home,0x73,,224,110,,327,74,VK_HOME,0x24,0x59,0x59
KEY_UP,103,UpArrow,0x7e,,236,99,109,328,82,VK_UP,0x26,0x5a,0x5a
KEY_PAGEUP,104,PageUp,0x74,,201,111,,329,75,VK_PRIOR,0x21,0x5b,0x5b
KEY_LEFT,105,LeftArrow,0x7b,,203,97,111,331,80,VK_LEFT,0x25,0x5c,0x5c
KEY_RIGHT,106,RightArrow,0x7c,,205,106,112,333,79,VK_RIGHT,0x27,0x5e,0x5e
KEY_END,107,End,0x77,,225,101,,335,77,VK_END,0x23,0x5f,0x5f
KEY_DOWN,108,DownArrow,0x7d,,254,96,110,336,81,VK_DOWN,0x28,0x60,0x60
KEY_PAGEDOWN,109,PageDown,0x79,,243,109,,337,78,VK_NEXT,0x22,0x61,0x61
KEY_INSERT,110,,,,210,103,107,338,73,VK_INSERT,0x2d,0x62,0x62
KEY_DELETE,111,ForwardDelete,0x75,,244,100,108,339,76,VK_DELETE,0x2e,0x63,0x63
KEY_MACRO,112,,,,239,142,,367,,,,,
KEY_MUTE,113,Mute,0x4a,,251,156,,288,239,VK_VOLUME_MUTE,0xad,,
KEY_VOLUMEDOWN,114,VolumeDown,0x49,,,157,,302,238,VK_VOLUME_DOWN,0xae,,
KEY_VOLUMEUP,115,VolumeUp,0x48,,233,149,,304,237,VK_VOLUME_UP,0xaf,,
KEY_POWER,116,,,,,,,350,102,,,,
KEY_KPEQUAL,117,ANSI_KeypadEquals,0x51,89,15,,,89,103,,,0x76,0x76
KEY_KPPLUSMINUS,118,,,,206,,,334,,,,,
KEY_PAUSE,119,,,,198,98,,326,72,VK_PAUSE,0x013,0x66,0x66
KEY_SCALE,120,,,,,,,267,,,,,
KEY_KPCOMMA,121,ANSI_KeypadClear????,0x47,126,109,,,126,133,VK_SEPARATOR??,0x6c,,
KEY_HANGEUL,122,,,,,,,,144,VK_HANGEUL,0x15,,
KEY_HANJA,123,,,,,,,269,145,VK_HANJA,0x19,,
KEY_YEN,124,JIS_Yen,0x5d,125,106,,,125,137,,,0x7d,0x7d
KEY_LEFTMETA,125,Command,0x37,,,139,,347,227,VK_LWIN,0x5b,0x6b,0x6b
KEY_RIGHTMETA,126,,,,,140,,348,231,VK_RWIN,0x5c,0x6c,0x6c
KEY_COMPOSE,127,Function,0x3f,,,141,,349,101,VK_APPS,0x5d,0x6d,0x6d
KEY_STOP,128,,,,,10,,360,243,VK_BROWSER_STOP,0xa9,,
KEY_AGAIN,129,,,,,11,,261,121,,,,
KEY_PROPS,130,,,,,12,,262,118,,,,
KEY_UNDO,131,,,,,16,,263,122,,,,
KEY_FRONT,132,,,,,,,268,119,,,,
KEY_COPY,133,,,,,24,,376,124,,,,
KEY_OPEN,134,,,,,32,,100,116,,,,
KEY_PASTE,135,,,,,40,,101,125,,,,
KEY_FIND,136,,,,,48,,321,244,,,,
KEY_CUT,137,,,,,56,,316,123,,,,
KEY_HELP,138,,,,,9,,373,117,VK_HELP,0x2f,,
KEY_MENU,139,,,,,145,,286,,,,,
KEY_CALC,140,,,,174,163,,289,251,,,,
KEY_SETUP,141,,,,,,,102,,,,,
KEY_SLEEP,142,,,,,,,351,248,VK_SLEEP,0x5f,,
KEY_WAKEUP,143,,,,,,,355,,,,,
KEY_FILE,144,,,,,,,103,,,,,
KEY_SENDFILE,145,,,,,,,104,,,,,
KEY_DELETEFILE,146,,,,,,,105,,,,,
KEY_XFER,147,,,,,162,,275,,,,,
KEY_PROG1,148,,,,,160,,287,,,,,
KEY_PROG2,149,,,,,161,,279,,,,,
KEY_WWW,150,,,,,,,258,240,,,,
KEY_MSDOS,151,,,,,,,106,,,,,
KEY_SCREENLOCK,152,,,,,150,,274,249,,,,
KEY_DIRECTION,153,,,,,,,107,,,,,
KEY_CYCLEWINDOWS,154,,,,,155,,294,,,,,
KEY_MAIL,155,,,,,,,364,,,,,
KEY_BOOKMARKS,156,,,,,,,358,,,,,
KEY_COMPUTER,157,,,,,,,363,,,,,
KEY_BACK,158,,,,,,,362,241,VK_BROWSER_BACK,0xa6,,
KEY_FORWARD,159,,,,,,,361,242,VK_BROWSER_FORWARD,0xa7,,
KEY_CLOSECD,160,,,,,154,,291,,,,,
KEY_EJECTCD,161,,,,,,,108,236,,,,
KEY_EJECTCLOSECD,162,,,,,,,381,,,,,
