"Linux Name","Linux Keycode","OS-X Name","OS-X Keycode","AT set1 keycode","AT set2 keycode","AT set3 keycode",XT,"XT KBD","USB Keycodes","Win32 Name","Win32 Keycode","Xwin XT","Xfree86 KBD XT"
KEY_NEXTSONG,163,,,,241,147,,281,235,VK_MEDIA_NEXT_TRACK,0xb0,,
KEY_PLAYPAUSE,164,,,,173,,,290,232,VK_MEDIA_PLAY_PAUSE,0xb3,,
KEY_PREVIOUSSONG,165,,,,250,148,,272,234,VK_MEDIA_PREV_TRACK,0xb1,,
KEY_STOPCD,166,,,,164,152,,292,233,VK_MEDIA_STOP,0xb2,,
KEY_RECORD,167,,,,,158,,305,,,,,
KEY_REWIND,168,,,,,159,,280,,,,,
KEY_PHONE,169,,,,,,,99,,,,,
KEY_ISO,170,ISO_Section,0xa,,,,,112,,,,,
KEY_CONFIG,171,,,,,,,257,,,,,
KEY_HOMEPAGE,172,,,,178,151,,306,,VK_BROWSER_HOME,0xac,,
KEY_REFRESH,173,,,,,,,359,250,VK_BROWSER_REFRESH,0xa8,,
KEY_EXIT,174,,,,,,,113,,,,,
KEY_MOVE,175,,,,,,,114,,,,,
KEY_EDIT,176,,,,,,,264,247,,,,
KEY_SCROLLUP,177,,,,,,,117,245,,,,
KEY_SCROLLDOWN,178,,,,,,,271,246,,,,
KEY_KPLEFTPAREN,179,,,,,,,374,182,,,,
KEY_KPRIGHTPAREN,180,,,,,,,379,183,,,,
KEY_NEW,181,,,,,,,265,,,,,
KEY_REDO,182,,,,,,,266,,,,,
KEY_F13,183,F13,0x69,93,47,127,,93,104,VK_F13,0x7c,0x6e,0x6e
KEY_F14,184,F14,0x6b,94,55,128,,94,105,VK_F14,0x7d,0x6f,0x6f
KEY_F15,185,F15,0x71,95,63,129,,95,106,VK_F15,0x7e,0x70,0x70
KEY_F16,186,F16,0x6a,,,130,,85,107,VK_F16,0x7f,0x71,0x71
KEY_F17,187,F17,0x40,,,131,,259,108,VK_F17,0x80,0x72,0x72
KEY_F18,188,F18,0x4f,,,,,375,109,VK_F18,0x81,,
KEY_F19,189,F19,0x50,,,,,260,110,VK_F19,0x82,,
KEY_F20,190,F20,0x5a,,,,,90,111,VK_F20,0x83,,
KEY_F21,191,,,,,,,116,112,VK_F21,0x84,,
KEY_F22,192,,,,,,,377,113,VK_F22,0x85,,
KEY_F23,193,,,,,,,109,114,VK_F23,0x86,,
KEY_F24,194,,,,,,,111,115,VK_F24,0x87,,
,195,,,,,,,277,,,,,
,196,,,,,,,278,,,,,
,197,,,,,,,282,,,,,
,198,,,,,,,283,,,,,
,199,,,,,,,295,,,,,
KEY_PLAYCD,200,,,,,,,296,,,,,
KEY_PAUSECD,201,,,,,,,297,,,,,
KEY_PROG3,202,,,,,,,299,,,,,
KEY_PROG4,203,,,,,,,300,,,,,
KEY_DASHBOARD,204,,,,,,,301,,,,,
KEY_SUSPEND,205,,,,,,,293,,,,,
KEY_CLOSE,206,,,,,,,303,,,,,
KEY_PLAY,207,,,,,,,307,,VK_PLAY,0xfa,,
KEY_FASTFORWARD,208,,,,,,,308,,,,,
KEY_BASSBOOST,209,,,,,,,310,,,,,
KEY_PRINT,210,,,,,,,313,,VK_PRINT,0x2a,,
KEY_HP,211,,,,,,,314,,,,,
KEY_CAMERA,212,,,,,,,315,,,,,
KEY_SOUND,213,,,,,,,317,,,,,
KEY_QUESTION,214,,,,,,,318,,,,,
KEY_EMAIL,215,,,,,,,319,,VK_LAUNCH_MAIL,0xb4,,
KEY_CHAT,216,,,,,,,320,,,,,
KEY_SEARCH,217,,,,,,,357,,VK_BROWSER_SEARCH,0xaa,,
KEY_CONNECT,218,,,,,,,322,,,,,
KEY_FINANCE,219,,,,,,,323,,,,,
KEY_SPORT,220,,,,,,,324,,,,,
KEY_SHOP,221,,,,,,,325,,,,,
KEY_ALTERASE,222,,,,,,,276,,,,,
KEY_CANCEL,223,,,,,,,330,,,,,
KEY_BRIGHTNESSDOWN,224,,,,,,,332,,,,,
KEY_BRIGHTNESSUP,225,,,,,,,340,,,,,
KEY_MEDIA,226,,,,,,,365,,,,,
KEY_SWITCHVIDEOMODE,227,,,,,,,342,,,,,
KEY_KBDILLUMTOGGLE,228,,,,,,,343,,,,,
KEY_KBDILLUMDOWN,229,,,,,,,344,,,,,
KEY_KBDILLUMUP,230,,,,,,,345,,,,,
KEY_SEND,231,,,,,,,346,,,,,
KEY_REPLY,232,,,,,,,356,,,,,
KEY_FORWARDMAIL,233,,,,,,,270,,,,,
KEY_SAVE,234,,,,,,,341,,,,,
KEY_DOCUMENTS,235,,,,,,,368,,,,,
KEY_BATTERY,236,,,,,,,369,,,,,
KEY_BLUETOOTH,237,,,,,,,370,,,,,
KEY_WLAN,238,,,,,,,371,,,,,
KEY_UWB,239,,,,,,,372,,,,,
KEY_UNKNOWN,240,,,,,,,,,,,,
KEY_VIDEO_NEXT,241,,,,,,,,,,,,
KEY_VIDEO_PREV,242,,,,,,,,,,,,
KEY_BRIGHTNESS_CYCLE,243,,,,,,,,,,,,
KEY_BRIGHTNESS_ZERO,244,,,,,,,,,,,,
KEY_DISPLAY_OFF,245,,,,,,,,,,,,
KEY_WIMAX,246,,,,,,,,,,,,
,247,,,,,,,,,,,,
,248,,,,,,,,,,,,
,249,,,,,,,,,,,,
,250,,,,,,,,,,,,
,251,,,,,,,,,,,,
,252,,,,,,,,,,,,
,253,,,,,,,,,,,,
,254,,,,,,,,,,,,
,255,,,,182,,,,,,,,
BTN_MISC,0x100,,,,,,,,,,,,
BTN_0,0x100,,,,,,,,,VK_LBUTTON,0x01,,
BTN_1,0x101,,,,,,,,,VK_RBUTTON,0x02,,
BTN_2,0x102,,,,,,,,,VK_MBUTTON,0x04,,
BTN_3,0x103,,,,,,,,,VK_XBUTTON1,0x05,,
BTN_4,0x104,,,,,,,,,VK_XBUTTON2,0x06,,
BTN_5,0x105,,,,,,,,,,,,
BTN_6,0x106,,,,,,,,,,,,
BTN_7,0x107,,,,,,,,,,,,
BTN_8,0x108,,,,,,,,,,,,
BTN_9,0x109,,,,,,,,,,,,
BTN_MOUSE,0x110,,,,,,,,,,,,
BTN_LEFT,0x110,,,,,,,,,,,,
BTN_RIGHT,0x111,,,,,,,,,,,,
BTN_MIDDLE,0x112,,,,,,,,,,,,
BTN_SIDE,0x113,,,,,,,,,,,,
BTN_EXTRA,0x114,,,,,,,,,,,,
BTN_FORWARD,0x115,,,,,,,,,,,,
BTN_BACK,0x116,,,,,,,,,,,,
BTN_TASK,0x117,,,,,,,,,,,,
BTN_JOYSTICK,0x120,,,,,,,,,,,,
BTN_TRIGGER,0x120,,,,,,,,,,,,
BTN_THUMB,0x121,,,,,,,,,,,,
BTN_THUMB2,0x122,,,,,,,,,,,,
BTN_TOP,0x123,,,,,,,,,,,,
BTN_TOP2,0x124,,,,,,,,,,,,
BTN_PINKIE,0x125,,,,,,,,,,,,
BTN_BASE,0x126,,,,,,,,,,,,
BTN_BASE2,0x127,,,,,,,,,,,,
BTN_BASE3,0x128,,,,,,,,,,,,
BTN_BASE4,0x129,,,,,,,,,,,,
BTN_BASE5,0x12a,,,,,,,,,,,,
BTN_BASE6,0x12b,,,,,,,,,,,,
BTN_DEAD,0x12f,,,,,,,,,,,,
BTN_GAMEPAD,0x130,,,,,,,,,,,,
BTN_A,0x130,,,,,,,,,,,,
BTN_B,0x131,,,,,,,,,,,,
BTN_C,0x132,,,,,,,,,,,,
BTN_X,0x133,,,,,,,,,,,,
BTN_Y,0x134,,,,,,,,,,,,
BTN_Z,0x135,,,,,,,,,,,,
BTN_TL,0x136,,,,,,,,,,,,
BTN_TR,0x137,,,,,,,,,,,,
BTN_TL2,0x138,,,,,,,,,,,,
BTN_TR2,0x139,,,,,,,,,,,,
BTN_SELECT,0x13a,,,,,,,,,,,,
BTN_START,0x13b,,,,,,,,,,,,
BTN_MODE,0x13c,,,,,,,,,,,,
BTN_THUMBL,0x13d,,,,,,,,,,,,
BTN_THUMBR,0x13e,,,,,,,,,,,,
BTN_DIGI,0x140,,,,,,,,,,,,
BTN_TOOL_PEN,0x140,,,,,,,,,,,,
BTN_TOOL_RUBBER,0x141,,,,,,,,,,,,
BTN_TOOL_BRUSH,0x142,,,,,,,,,,,,
BTN_TOOL_PENCIL,0x143,,,,,,,,,,,,
BTN_TOOL_AIRBRUSH,0x144,,,,,,,,,,,,
BTN_TOOL_FINGER,0x145,,,,,,,,,,,,
BTN_TOOL_MOUSE,0x146,,,,,,,,,,,,
BTN_TOOL_LENS,0x147,,,,,,,,,,,,
BTN_TOUCH,0x14a,,,,,,,,,,,,
BTN_STYLUS,0x14b,,,,,,,,,,,,
BTN_STYLUS2,0x14c,,,,,,,,,,,,
BTN_TOOL_DOUBLETAP,0x14d,,,,,,,,,,,,
BTN_TOOL_TRIPLETAP,0x14e,,,,,,,,,,,,
BTN_TOOL_QUADTAP,0x14f,,,,,,,,,,,,
BTN_WHEEL,0x150,,,,,,,,,,,,
BTN_GEAR_DOWN,0x150,,,,,,,,,,,,
BTN_GEAR_UP,0x151,,,,,,,,,,,,
KEY_OK,0x160,,,,,,,,,,,,
KEY_SELECT,0x161,,,,,,,,,VK_SELECT,0x29,,
KEY_GOTO,0x162,,,,,,,,,,,,
KEY_CLEAR,0x163,,,,,,,,,,,,
KEY_POWER2,0x164,,,,,,,,,,,,
KEY_OPTION,0x165,,,,,,,,,,,,
KEY_INFO,0x166,,,,,,,,,,,,
KEY_TIME,0x167,,,,,,,,,,,,
KEY_VENDOR,0x168,,,,,,,,,,,,
KEY_ARCHIVE,0x169,,,,,,,,,,,,
KEY_PROGRAM,0x16a,,,,,,,,,,,,
KEY_CHANNEL,0x16b,,,,,,,,,,,,
KEY_FAVORITES,0x16c,,,,,,,,,VK_BROWSER_FAVOURITES,0xab,,
KEY_EPG,0x16d,,,,,,,,,,,,
KEY_PVR,0x16e,,,,,,,,,,,,
KEY_MHP,0x16f,,,,,,,,,,,,
KEY_LANGUAGE,0x170,,,,,,,,,,,,
KEY_TITLE,0x171,,,,,,,,,,,,
KEY_SUBTITLE,0x172,,,,,,,,,,,,
KEY_ANGLE,0x173,,,,,,,,,,,,
KEY_ZOOM,0x174,,,,,,,,,VK_ZOOM,0xfb,,
KEY_MODE,0x175,,,,,,,,,,,,
KEY_KEYBOARD,0x176,,,,,,,,,,,,
KEY_SCREEN,0x177,,,,,,,,,,,,
KEY_PC,0x178,,,,,,,,,,,,
KEY_TV,0x179,,,,,,,,,,,,
KEY_TV2,0x17a,,,,,,,,,,,,
KEY_VCR,0x17b,,,,,,,,,,,,
KEY_VCR2,0x17c,,,,,,,,,,,,
KEY_SAT,0x17d,,,,,,,,,,,,
KEY_SAT2,0x17e,,,,,,,,,,,,
KEY_CD,0x17f,,,,,,,,,,,,
KEY_TAPE,0x180,,,,,,,,,,,,
KEY_RADIO,0x181,,,,,,,,,,,,
KEY_TUNER,0x182,,,,,,,,,,,,
KEY_PLAYER,0x183,,,,,,,,,,,,
KEY_TEXT,0x184,,,,,,,,,,,,
KEY_DVD,0x185,,,,,,,,,,,,
KEY_AUX,0x186,,,,,,,,,,,,
KEY_MP3,0x187,,,,,,,,,,,,
KEY_AUDIO,0x188,,,,,,,,,,,,
KEY_VIDEO,0x189,,,,,,,,,,,,
KEY_DIRECTORY,0x18a,,,,,,,,,,,,
KEY_LIST,0x18b,,,,,,,,,,,,
KEY_MEMO,0x18c,,,,,,,,,,,,
KEY_CALENDAR,0x18d,,,,,,,,,,,,
KEY_RED,0x18e,,,,,,,,,,,,
KEY_GREEN,0x18f,,,,,,,,,,,,
KEY_YELLOW,0x190,,,,,,,,,,,,
KEY_BLUE,0x191,,,,,,,,,,,,
KEY_CHANNELUP,0x192,,,,,,,,,,,,
KEY_CHANNELDOWN,0x193,,,,,,,,,,,,
KEY_FIRST,0x194,,,,,,,,,,,,
KEY_LAST,0x195,,,,,,,,,,,,
KEY_AB,0x196,,,,,,,,,,,,
KEY_NEXT,0x197,,,,,,,,,,,,
KEY_RESTART,0x198,,,,,,,,,,,,
KEY_SLOW,0x199,,,,,,,,,,,,
KEY_SHUFFLE,0x19a,,,,,,,,,,,,
KEY_BREAK,0x19b,,,,,,,,,,,,
KEY_PREVIOUS,0x19c,,,,,,,,,,,,
KEY_DIGITS,0x19d,,,,,,,,,,,,
KEY_TEEN,0x19e,,,,,,,,,,,,
KEY_TWEN,0x19f,,,,,,,,,,,,
KEY_VIDEOPHONE,0x1a0,,,,,,,,,,,,
KEY_GAMES,0x1a1,,,,,,,,,,,,
KEY_ZOOMIN,0x1a2,,,,,,,,,,,,
KEY_ZOOMOUT,0x1a3,,,,,,,,,,,,
KEY_ZOOMRESET,0x1a4,,,,,,,,,,,,
KEY_WORDPROCESSOR,0x1a5,,,,,,,,,,,,
KEY_EDITOR,0x1a6,,,,,,,,,,,,
KEY_SPREADSHEET,0x1a7,,,,,,,,,,,,
KEY_GRAPHICSEDITOR,0x1a8,,,,,,,,,,,,
KEY_PRESENTATION,0x1a9,,,,,,,,,,,,
KEY_DATABASE,0x1aa,,,,,,,,,,,,
KEY_NEWS,0x1ab,,,,,,,,,,,,
KEY_VOICEMAIL,0x1ac,,,,,,,,,,,,
KEY_ADDRESSBOOK,0x1ad,,,,,,,,,,,,
KEY_MESSENGER,0x1ae,,,,,,,,,,,,
KEY_DISPLAYTOGGLE,0x1af,,,,,,,,,,,,
KEY_SPELLCHECK,0x1b0,,,,,,,,,,,,
KEY_LOGOFF,0x1b1,,,,,,,,,,,,
KEY_DOLLAR,0x1b2,,,,,,,,,,,,
KEY_EURO,0x1b3,,,,,,,,,,,,
KEY_FRAMEBACK,0x1b4,,,,,,,,,,,,
KEY_FRAMEFORWARD,0x1b5,,,,,,,,,,,,
KEY_CONTEXT_MENU,0x1b6,,,,,,,,,,,,
KEY_MEDIA_REPEAT,0x1b7,,,,,,,,,,,,
KEY_DEL_EOL,0x1c0,,,,,,,,,,,,
KEY_DEL_EOS,0x1c1,,,,,,,,,,,,
KEY_INS_LINE,0x1c2,,,,,,,,,,,,
KEY_DEL_LINE,0x1c3,,,,,,,,,,,,
KEY_FN,0x1d0,,,,,,,,,,,,
KEY_FN_ESC,0x1d1,,,,,,,,,,,,
KEY_FN_F1,0x1d2,,,,,,,,,,,,
KEY_FN_F2,0x1d3,,,,,,,,,,,,
KEY_FN_F3,0x1d4,,,,,,,,,,,,
KEY_FN_F4,0x1d5,,,,,,,,,,,,
KEY_FN_F5,0x1d6,,,,,,,,,,,,
KEY_FN_F6,0x1d7,,,,,,,,,,,,
KEY_FN_F7,0x1d8,,,,,,,,,,,,
KEY_FN_F8,0x1d9,,,,,,,,,,,,
KEY_FN_F9,0x1da,,,,,,,,,,,,
KEY_FN_F10,0x1db,,,,,,,,,,,,
KEY_FN_F11,0x1dc,,,,,,,,,,,,
KEY_FN_F12,0x1dd,,,,,,,,,,,,
KEY_FN_1,0x1de,,,,,,,,,,,,
KEY_FN_2,0x1df,,,,,,,,,,,,
KEY_FN_D,0x1e0,,,,,,,,,,,,
KEY_FN_E,0x1e1,,,,,,,,,,,,
KEY_FN_F,0x1e2,,,,,,,,,,,,
KEY_FN_S,0x1e3,,,,,,,,,,,,
KEY_FN_B,0x1e4,,,,,,,,,,,,
KEY_BRL_DOT1,0x1f1,,,,,,,,,,,,
KEY_BRL_DOT2,0x1f2,,,,,,,,,,,,
KEY_BRL_DOT3,0x1f3,,,,,,,,,,,,
KEY_BRL_DOT4,0x1f4,,,,,,,,,,,,
KEY_BRL_DOT5,0x1f5,,,,,,,,,,,,
KEY_BRL_DOT6,0x1f6,,,,,,,,,,,,
KEY_BRL_DOT7,0x1f7,,,,,,,,,,,,
KEY_BRL_DOT8,0x1f8,,,,,,,,,,,,
KEY_BRL_DOT9,0x1f9,,,,,,,,,,,,
KEY_BRL_DOT10,0x1fa,,,,,,,,,,,,
KEY_NUMERIC_0,0x200,,,,,,,,,,,,
KEY_NUMERIC_1,0x201,,,,,,,,,,,,
KEY_NUMERIC_2,0x202,,,,,,,,,,,,
KEY_NUMERIC_3,0x203,,,,,,,,,,,,
KEY_NUMERIC_4,0x204,,,,,,,,,,,,
KEY_NUMERIC_5,0x205,,,,,,,,,,,,
KEY_NUMERIC_6,0x206,,,,,,,,,,,,
KEY_NUMERIC_7,0x207,,,,,,,,,,,,
KEY_NUMERIC_8,0x208,,,,,,,,,,,,
KEY_NUMERIC_9,0x209,,,,,,,,,,,,
KEY_NUMERIC_STAR,0x20a,,,,,,,,,,,,
KEY_NUMERIC_POUND,0x20b,,,,,,,,,,,,
KEY_RFKILL,0x20c,,,,,,,,,,,,
